mov_id,fecha,mes,anio,cuenta_id,contraparte_id,categoria_id,instrumento_id,descripcion,monto,moneda,tasa_cambio
20231231-001,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-150920,CLP,
20231231-002,2023-12-31,12,2023,CTA_003,,,,Patrimonio,150920,CLP,
20231231-003,2023-12-31,12,2023,,,CAT_033,,Patrimonio,196211,CLP,
20231231-004,2023-12-31,12,2023,,,,INS_001,Patrimonio,-196211,CLP,
20231231-005,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-122508,CLP,
20231231-006,2023-12-31,12,2023,CTA_004,,,,Patrimonio,122508,CLP,
20231231-007,2023-12-31,12,2023,,,CAT_033,,Patrimonio,179726,CLP,
20231231-008,2023-12-31,12,2023,,,,INS_007,Patrimonio,-179726,CLP,
20231231-009,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-643,CLP,
20231231-010,2023-12-31,12,2023,CTA_001,,,,Patrimonio,643,CLP,
20231231-011,2023-12-31,12,2023,,,CAT_033,,Patrimonio,948035,CLP,
20231231-012,2023-12-31,12,2023,,,,INS_002,Patrimonio,-948035,CLP,
20231231-013,2023-12-31,12,2023,,,CAT_033,,Patrimonio,40236,CLP,
20231231-014,2023-12-31,12,2023,,CTR_023,,,Patrimonio,-40236,CLP,
20231231-015,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-335096,CLP,
20231231-016,2023-12-31,12,2023,,,,INS_012,Patrimonio,335096,CLP,
20231231-017,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-6000,CLP,
20231231-018,2023-12-31,12,2023,CTA_014,,,,Patrimonio,6000,CLP,
20231231-019,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-53837,CLP,
20231231-020,2023-12-31,12,2023,,CTR_001,,,Patrimonio,53837,CLP,
20231231-021,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-269116,CLP,
20231231-022,2023-12-31,12,2023,,,,INS_010,Patrimonio,269116,CLP,
20231231-023,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-9490,CLP,
20231231-024,2023-12-31,12,2023,,CTR_004,,,Patrimonio,9490,CLP,
20231231-025,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-7500,CLP,
20231231-026,2023-12-31,12,2023,,CTR_003,,,Patrimonio,7500,CLP,
20231231-027,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-283598,CLP,
20231231-028,2023-12-31,12,2023,,,,INS_041,Patrimonio,283598,CLP,
20231231-029,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-6000,CLP,
20231231-030,2023-12-31,12,2023,,CTR_016,,,Patrimonio,6000,CLP,
20231231-031,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-1500,CLP,
20231231-032,2023-12-31,12,2023,,CTR_012,,,Patrimonio,1500,CLP,
20231231-033,2023-12-31,12,2023,,,CAT_033,,Patrimonio,100,CLP,
20231231-034,2023-12-31,12,2023,,CTR_008,,,Patrimonio,-100,CLP,
20231231-035,2023-12-31,12,2023,,,CAT_033,,Patrimonio,61,CLP,
20231231-036,2023-12-31,12,2023,,CTR_010,,,Patrimonio,-61,CLP,
20231231-037,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-55,CLP,
20231231-038,2023-12-31,12,2023,,CTR_009,,,Patrimonio,55,CLP,
20231231-039,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-7000,CLP,
20231231-040,2023-12-31,12,2023,,CTR_006,,,Patrimonio,7000,CLP,
20231231-041,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-2000,CLP,
20231231-042,2023-12-31,12,2023,,,,INS_013,Patrimonio,2000,CLP,
20231231-043,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-9,CLP,
20231231-044,2023-12-31,12,2023,,CTR_018,,,Patrimonio,9,CLP,
20231231-045,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-1,CLP,
20231231-046,2023-12-31,12,2023,,CTR_017,,,Patrimonio,1,CLP,
20231231-047,2023-12-31,12,2023,,,CAT_033,,Patrimonio,7082,CLP,
20231231-048,2023-12-31,12,2023,,CTR_019,,,Patrimonio,-7082,CLP,
20231231-049,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-45380,CLP,
20231231-050,2023-12-31,12,2023,,,,INS_014,Patrimonio,45380,CLP,
20231231-051,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-13050,CLP,
20231231-052,2023-12-31,12,2023,,,,INS_015,Patrimonio,13050,CLP,
20231231-053,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-1050,CLP,
20231231-054,2023-12-31,12,2023,,,,INS_024,Patrimonio,1050,CLP,
20231231-055,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-20082,CLP,
20231231-056,2023-12-31,12,2023,,,,INS_025,Patrimonio,20082,CLP,
20231231-057,2023-12-31,12,2023,,,CAT_033,,Patrimonio,-510978,CLP,
20231231-058,2023-12-31,12,2023,,,,INS_026,Patrimonio,510978,CLP,
20240102-001,2024-01-02,1,2024,CTA_003,,,,Pago de Tarjeta CMR,-150920,CLP,
20240102-002,2024-01-02,1,2024,,,,INS_001,Pago de Tarjeta CMR,150920,CLP,
20240101-001,2024-01-01,1,2024,CTA_004,,,,Dinero para pago de cuenta,500000,CLP,
20240101-002,2024-01-01,1,2024,,CTR_001,,,Dinero para pago de cuenta,-500000,CLP,
20240102-003,2024-01-02,1,2024,CTA_004,,,,Pago de cuenta Cencosud,-499717,CLP,
20240102-004,2024-01-02,1,2024,,CTR_001,,,Pago de cuenta Cencosud,499717,CLP,
20240102-005,2024-01-02,1,2024,CTA_003,,,,Traspaso de Fondos,15000,CLP,
20240102-006,2024-01-02,1,2024,CTA_004,,,,Traspaso de Fondos,-15000,CLP,
20240102-007,2024-01-02,1,2024,CTA_004,,,,Pago de 3 meses de Spotify,4500,CLP,
20240102-008,2024-01-02,1,2024,,CTR_005,,,Pago de 3 meses de Spotify,-4500,CLP,
20240103-001,2024-01-03,1,2024,CTA_003,,,,Pago de cuenta de Claro,-12922,CLP,
20240103-002,2024-01-03,1,2024,,CTR_001,,,Pago de cuenta de Claro,12922,CLP,
20240101-003,2024-01-01,1,2024,,,CAT_026,,Diferencia CMR,-1,CLP,
20240101-004,2024-01-01,1,2024,,,,INS_001,Diferencia CMR,1,CLP,
